id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJtQnNGQB9EpERwH6b7wbRAnc,https://www.google.com/maps/place/?q=place_id:ChIJtQnNGQB9EpERwH6b7wbRAnc,Tinajas,Restaurante especializado en pollo,"Portal Independencia 70, Ayacucho 05003",,,,,"-13.160945,-74.2261534",,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJPedlKAC5BZER1BNaupkqmCY,https://www.google.com/maps/place/?q=place_id:ChIJPedlKAC5BZER1BNaupkqmCY,PUCARÁ Pollos a la brasa,Restaurante especializado en pollo,"Av. Caminos del Inca 2258, Santiago de Surco 15039",,,,,"-12.133438199999999,-76.98344159999999",5,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJtQnNGQB9EpERwH6b7wbRAnc,https://www.google.com/maps/place/?q=place_id:ChIJtQnNGQB9EpERwH6b7wbRAnc,Tinajas,Restaurante especializado en pollo,"Portal Independencia 70, Ayacucho 05003",,,,,"-13.160945,-74.2261534",,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJPedlKAC5BZER1BNaupkqmCY,https://www.google.com/maps/place/?q=place_id:ChIJPedlKAC5BZER1BNaupkqmCY,PUCARÁ Pollos a la brasa,Restaurante especializado en pollo,"Av. Caminos del Inca 2258, Santiago de Surco 15039",,,,,"-12.133438199999999,-76.98344159999999",5,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJtQnNGQB9EpERwH6b7wbRAnc,https://www.google.com/maps/place/?q=place_id:ChIJtQnNGQB9EpERwH6b7wbRAnc,Tinajas,Restaurante especializado en pollo,"Portal Independencia 70, Ayacucho 05003",,,,,"-13.160945,-74.2261534",,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJPedlKAC5BZER1BNaupkqmCY,https://www.google.com/maps/place/?q=place_id:ChIJPedlKAC5BZER1BNaupkqmCY,PUCARÁ Pollos a la brasa,Restaurante especializado en pollo,"Av. Caminos del Inca 2258, Santiago de Surco 15039",,,,,"-12.133438199999999,-76.98344159999999",5,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJtQnNGQB9EpERwH6b7wbRAnc,https://www.google.com/maps/place/?q=place_id:ChIJtQnNGQB9EpERwH6b7wbRAnc,Tinajas,Restaurante especializado en pollo,"Portal Independencia 70, Ayacucho 05003",,,,,"-13.160945,-74.2261534",,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJPedlKAC5BZER1BNaupkqmCY,https://www.google.com/maps/place/?q=place_id:ChIJPedlKAC5BZER1BNaupkqmCY,PUCARÁ Pollos a la brasa,Restaurante especializado en pollo,"Av. Caminos del Inca 2258, Santiago de Surco 15039",,,,,"-12.133438199999999,-76.98344159999999",5,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJtQnNGQB9EpERwH6b7wbRAnc,https://www.google.com/maps/place/?q=place_id:ChIJtQnNGQB9EpERwH6b7wbRAnc,Tinajas,Restaurante especializado en pollo,"Portal Independencia 70, Ayacucho 05003",,,,,"-13.160945,-74.2261534",,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJPedlKAC5BZER1BNaupkqmCY,https://www.google.com/maps/place/?q=place_id:ChIJPedlKAC5BZER1BNaupkqmCY,PUCARÁ Pollos a la brasa,Restaurante especializado en pollo,"Av. Caminos del Inca 2258, Santiago de Surco 15039",,,,,"-12.133438199999999,-76.98344159999999",5,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJtQnNGQB9EpERwH6b7wbRAnc,https://www.google.com/maps/place/?q=place_id:ChIJtQnNGQB9EpERwH6b7wbRAnc,Tinajas,Restaurante especializado en pollo,"Portal Independencia 70, Ayacucho 05003",,,,,"-13.160945,-74.2261534",,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJPedlKAC5BZER1BNaupkqmCY,https://www.google.com/maps/place/?q=place_id:ChIJPedlKAC5BZER1BNaupkqmCY,PUCARÁ Pollos a la brasa,Restaurante especializado en pollo,"Av. Caminos del Inca 2258, Santiago de Surco 15039",,,,,"-12.133438199999999,-76.98344159999999",5,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJtQnNGQB9EpERwH6b7wbRAnc,https://www.google.com/maps/place/?q=place_id:ChIJtQnNGQB9EpERwH6b7wbRAnc,Tinajas,Restaurante especializado en pollo,"Portal Independencia 70, Ayacucho 05003",,,,,"-13.160945,-74.2261534",,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJPedlKAC5BZER1BNaupkqmCY,https://www.google.com/maps/place/?q=place_id:ChIJPedlKAC5BZER1BNaupkqmCY,PUCARÁ Pollos a la brasa,Restaurante especializado en pollo,"Av. Caminos del Inca 2258, Santiago de Surco 15039",,,,,"-12.133438199999999,-76.98344159999999",5,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJtQnNGQB9EpERwH6b7wbRAnc,https://www.google.com/maps/place/?q=place_id:ChIJtQnNGQB9EpERwH6b7wbRAnc,Tinajas,Restaurante especializado en pollo,"Portal Independencia 70, Ayacucho 05003",,,,,"-13.160945,-74.2261534",,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJPedlKAC5BZER1BNaupkqmCY,https://www.google.com/maps/place/?q=place_id:ChIJPedlKAC5BZER1BNaupkqmCY,PUCARÁ Pollos a la brasa,Restaurante especializado en pollo,"Av. Caminos del Inca 2258, Santiago de Surco 15039",,,,,"-12.133438199999999,-76.98344159999999",5,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJtQnNGQB9EpERwH6b7wbRAnc,https://www.google.com/maps/place/?q=place_id:ChIJtQnNGQB9EpERwH6b7wbRAnc,Tinajas,Restaurante especializado en pollo,"Portal Independencia 70, Ayacucho 05003",,,,,"-13.160945,-74.2261534",,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJPedlKAC5BZER1BNaupkqmCY,https://www.google.com/maps/place/?q=place_id:ChIJPedlKAC5BZER1BNaupkqmCY,PUCARÁ Pollos a la brasa,Restaurante especializado en pollo,"Av. Caminos del Inca 2258, Santiago de Surco 15039",,,,,"-12.133438199999999,-76.98344159999999",5,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJtQnNGQB9EpERwH6b7wbRAnc,https://www.google.com/maps/place/?q=place_id:ChIJtQnNGQB9EpERwH6b7wbRAnc,Tinajas,Restaurante especializado en pollo,"Portal Independencia 70, Ayacucho 05003",,,,,"-13.160945,-74.2261534",,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJPedlKAC5BZER1BNaupkqmCY,https://www.google.com/maps/place/?q=place_id:ChIJPedlKAC5BZER1BNaupkqmCY,PUCARÁ Pollos a la brasa,Restaurante especializado en pollo,"Av. Caminos del Inca 2258, Santiago de Surco 15039",,,,,"-12.133438199999999,-76.98344159999999",5,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJtQnNGQB9EpERwH6b7wbRAnc,https://www.google.com/maps/place/?q=place_id:ChIJtQnNGQB9EpERwH6b7wbRAnc,Tinajas,Restaurante especializado en pollo,"Portal Independencia 70, Ayacucho 05003",,,,,"-13.160945,-74.2261534",,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJPedlKAC5BZER1BNaupkqmCY,https://www.google.com/maps/place/?q=place_id:ChIJPedlKAC5BZER1BNaupkqmCY,PUCARÁ Pollos a la brasa,Restaurante especializado en pollo,"Av. Caminos del Inca 2258, Santiago de Surco 15039",,,,,"-12.133438199999999,-76.98344159999999",5,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJtQnNGQB9EpERwH6b7wbRAnc,https://www.google.com/maps/place/?q=place_id:ChIJtQnNGQB9EpERwH6b7wbRAnc,Tinajas,Restaurante especializado en pollo,"Portal Independencia 70, Ayacucho 05003",,,,,"-13.160945,-74.2261534",,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJPedlKAC5BZER1BNaupkqmCY,https://www.google.com/maps/place/?q=place_id:ChIJPedlKAC5BZER1BNaupkqmCY,PUCARÁ Pollos a la brasa,Restaurante especializado en pollo,"Av. Caminos del Inca 2258, Santiago de Surco 15039",,,,,"-12.133438199999999,-76.98344159999999",5,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJVQefMH2HEpERpmnigZG9T0o,https://www.google.com/maps/place/?q=place_id:ChIJVQefMH2HEpERpmnigZG9T0o,"Pollos y parrillas ""La Curva del Sabor""",Restaurante especializado en pollo,"Av. San Francisco Mz O1 Lt18, Ayacucho 05002",959 420 825,+51 959 420 825,facebook.com,https://www.facebook.com/pollerialacurvadelsabor/,"-13.174484099999999,-74.21598519999999",3.3,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJtQnNGQB9EpERwH6b7wbRAnc,https://www.google.com/maps/place/?q=place_id:ChIJtQnNGQB9EpERwH6b7wbRAnc,Tinajas,Restaurante especializado en pollo,"Portal Independencia 70, Ayacucho 05003",,,,,"-13.160945,-74.2261534",,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJPedlKAC5BZER1BNaupkqmCY,https://www.google.com/maps/place/?q=place_id:ChIJPedlKAC5BZER1BNaupkqmCY,PUCARÁ Pollos a la brasa,Restaurante especializado en pollo,"Av. Caminos del Inca 2258, Santiago de Surco 15039",,,,,"-12.133438199999999,-76.98344159999999",5,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJtQnNGQB9EpERwH6b7wbRAnc,https://www.google.com/maps/place/?q=place_id:ChIJtQnNGQB9EpERwH6b7wbRAnc,Tinajas,Restaurante especializado en pollo,"Portal Independencia 70, Ayacucho 05003",,,,,"-13.160945,-74.2261534",,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJPedlKAC5BZER1BNaupkqmCY,https://www.google.com/maps/place/?q=place_id:ChIJPedlKAC5BZER1BNaupkqmCY,PUCARÁ Pollos a la brasa,Restaurante especializado en pollo,"Av. Caminos del Inca 2258, Santiago de Surco 15039",,,,,"-12.133438199999999,-76.98344159999999",5,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJtQnNGQB9EpERwH6b7wbRAnc,https://www.google.com/maps/place/?q=place_id:ChIJtQnNGQB9EpERwH6b7wbRAnc,Tinajas,Restaurante especializado en pollo,"Portal Independencia 70, Ayacucho 05003",,,,,"-13.160945,-74.2261534",,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJPedlKAC5BZER1BNaupkqmCY,https://www.google.com/maps/place/?q=place_id:ChIJPedlKAC5BZER1BNaupkqmCY,PUCARÁ Pollos a la brasa,Restaurante especializado en pollo,"Av. Caminos del Inca 2258, Santiago de Surco 15039",,,,,"-12.133438199999999,-76.98344159999999",5,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJtQnNGQB9EpERwH6b7wbRAnc,https://www.google.com/maps/place/?q=place_id:ChIJtQnNGQB9EpERwH6b7wbRAnc,Tinajas,Restaurante especializado en pollo,"Portal Independencia 70, Ayacucho 05003",,,,,"-13.160945,-74.2261534",,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJPedlKAC5BZER1BNaupkqmCY,https://www.google.com/maps/place/?q=place_id:ChIJPedlKAC5BZER1BNaupkqmCY,PUCARÁ Pollos a la brasa,Restaurante especializado en pollo,"Av. Caminos del Inca 2258, Santiago de Surco 15039",,,,,"-12.133438199999999,-76.98344159999999",5,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJtQnNGQB9EpERwH6b7wbRAnc,https://www.google.com/maps/place/?q=place_id:ChIJtQnNGQB9EpERwH6b7wbRAnc,Tinajas,Restaurante especializado en pollo,"Portal Independencia 70, Ayacucho 05003",,,,,"-13.160945,-74.2261534",,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJPedlKAC5BZER1BNaupkqmCY,https://www.google.com/maps/place/?q=place_id:ChIJPedlKAC5BZER1BNaupkqmCY,PUCARÁ Pollos a la brasa,Restaurante especializado en pollo,"Av. Caminos del Inca 2258, Santiago de Surco 15039",,,,,"-12.133438199999999,-76.98344159999999",5,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJwzgSXlZ9EpERHU7bGLCev4s,https://www.google.com/maps/place/?q=place_id:ChIJwzgSXlZ9EpERHU7bGLCev4s,"Pollería Restaurant ""Los Pollos de Mario""",Restaurante,"Jr. Garcilazo de la Vega 252, Ayacucho 05002",(066) 327075,+51 66 327075,facebook.com,https://www.facebook.com/lospollosdemario,"-13.1587645,-74.2272387",4.2,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
ChIJtQnNGQB9EpERwH6b7wbRAnc,https://www.google.com/maps/place/?q=place_id:ChIJtQnNGQB9EpERwH6b7wbRAnc,Tinajas,Restaurante especializado en pollo,"Portal Independencia 70, Ayacucho 05003",,,,,"-13.160945,-74.2261534",,,"Pollería en el distrito de Sara Sara, Pàucar del Sara Sara, Ayacucho, Perú"
